index,lon,lat,localtime(hr),H-parameter (from Hayne)
987,173.10056,-6.1599436,23.8,0.068346001
988,170.65425,-6.6179323,23.6333,0.068366997
989,168.95358,-6.929113,23.5167,0.067976996
990,167.56557,-7.178485,23.4333,0.056297999
991,166.36252,-7.391163,23.35,0.069504
992,165.28383,-7.57904,23.2833,0.065699004
993,164.29784,-7.74839,23.2167,0.064320996
994,163.38318,-7.903408,23.15,0.065535001
995,162.52579,-8.046868,23.1,0.072485
996,161.71628,-8.180649,23.05,0.072310999
997,160.94699,-8.306251,22.9833,0.072843
998,160.21198,-8.4248495,22.9333,0.064975999
999,159.50739,-8.537225,22.9,0.071603
1000,158.8289,-8.644211,22.85,0.053546999
1001,158.17436,-8.746265,22.8,0.067367002
1002,157.54094,-8.843937,22.7667,0.071649998
1003,156.92657,-8.9376335,22.7167,0.079980001
1004,156.32967,-9.027682,22.6833,0.066321999
1005,155.74864,-9.114393,22.65,0.063097998
1006,155.182,-9.198052,22.6,0.071709
1007,154.62923,-9.278802,22.5667,0.06374
1008,154.0885,-9.356957,22.5333,0.072515003
1009,153.55974,-9.432577,22.5,0.078405999
1010,153.04181,-9.505873,22.4667,0.072420001
1011,152.53387,-9.577006,22.4333,0.094325997
1012,152.03557,-9.646061,22.4,0.072429001
1013,151.54602,-9.713196,22.3667,0.070908003
1014,151.06494,-9.778484,22.3333,0.071024999
1015,150.59187,-9.84202,22.3,0.082239002
1016,150.12637,-9.903891,22.2667,0.093900003
1017,149.66812,-9.964165,22.2333,0.091640003
1018,149.21661,-10.022935,22.2167,0.074082002
1019,148.77153,-10.080267,22.1833,0.073537
1020,148.33253,-10.136227,22.15,0.058968
1021,147.89958,-10.190842,22.1167,0.071171001
1022,147.47214,-10.244198,22.1,0.072137997
1023,147.05011,-10.296326,22.0667,0.068170004
1024,146.63309,-10.347296,22.0333,0.072194003
1025,146.22122,-10.397107,22.0167,0.074580997
1026,145.8139,-10.4458475,21.9833,0.072492003
1027,145.41115,-10.493532,21.95,0.073159002
1028,145.01292,-10.540181,21.9333,0.071856998
1029,144.61885,-10.585852,21.9,0.074658997
1030,144.22887,-10.630564,21.8833,0.081253998
1031,143.84276,-10.674357,21.85,0.070164002
1032,143.46028,-10.71727,21.8333,0.073864996
1033,143.08165,-10.759293,21.8,0.072392002
1034,142.70653,-10.80047,21.7833,0.073882997
1035,142.33469,-10.840842,21.75,0.071497999
1036,141.96631,-10.880399,21.7333,0.075887002
1037,141.60112,-10.919179,21.7,0.071199998
1038,141.23885,-10.957223,21.6833,0.073904999
1039,140.87978,-10.994509,21.65,0.071690999
1040,140.52347,-11.031091,21.6333,0.069591999
1041,140.17007,-11.066964,21.6,0.078171
1042,139.81946,-11.102151,21.5833,0.045209002
1043,139.47148,-11.136672,21.5667,0.071548
1044,139.12619,-11.170533,21.5333,0.069262996
1045,138.78317,-11.20378,21.5167,0.082788996
1046,138.4427,-11.236395,21.4833,0.068715997
1047,138.10477,-11.268387,21.4667,0.079434998
1048,137.76897,-11.299798,21.45,0.056945
1049,137.43561,-11.330609,21.4167,0.070277996
1050,137.1044,-11.360855,21.4,0.080867
1051,136.77516,-11.390555,21.3833,0.081738003
1052,136.44827,-11.419683,21.35,0.072841004
1053,136.12341,-11.448275,21.3333,0.079507999
1054,135.80035,-11.476354,21.3167,0.074818
1055,135.47943,-11.5039,21.3,0.071689002
1056,135.16025,-11.530949,21.2667,0.072157003
1057,134.84311,-11.557483,21.25,0.068851002
1058,134.52766,-11.583535,21.2333,0.067844003
1059,134.21407,-11.6091,21.2167,0.073371999
1060,133.90225,-11.634187,21.1833,0.074396998
1061,133.59204,-11.658815,21.1667,0.065797001
1062,133.28336,-11.682996,21.15,0.064832002
1063,132.9765,-11.706708,21.1333,0.069030002
1064,132.6712,-11.7299795,21.1,0.076815002
1065,132.3674,-11.752819,21.0833,0.072286002
1066,132.06535,-11.775211,21.0667,0.073238999
1067,131.76453,-11.7972,21.05,0.071865998
1068,131.46523,-11.818768,21.0333,0.071399003
1069,131.16745,-11.839917,21,0.088215001
1070,130.87093,-11.860673,20.9833,0.072415002
1071,130.57596,-11.881017,20.9667,0.069649003
1072,130.28217,-11.900979,20.95,0.065499999
1073,129.9898,-11.920545,20.9333,0.067605004
1074,129.69879,-11.939727,20.9167,0.072385997
1075,129.40895,-11.958537,20.8833,0.066207998
1076,129.12042,-11.976971,20.8667,0.063127004
1077,128.83313,-11.995035,20.85,0.065921001
1078,128.54689,-12.012748,20.8333,0.061246999
1079,128.262,-12.030091,20.8167,0.054967001
1080,127.97784,-12.047106,20.8,0.042548001
1081,127.695625,-12.063724,20.7667,0.053369999
1082,127.41406,-12.080024,20.75,0.064070001
1083,127.13356,-12.095985,20.7333,0.050891999
1084,126.85425,-12.111604,20.7167,0.068081997
1085,126.57609,-12.126884,20.7,0.071813002
1086,126.29874,-12.141848,20.6833,0.066018
1087,126.02264,-12.156474,20.6667,0.073934004
1088,125.747246,-12.1707945,20.65,0.073409997
1089,125.47308,-12.184784,20.6333,0.070868999
1090,125.199936,-12.198457,20.6167,0.066641003
1091,124.9276,-12.211826,20.5833,0.070003003
1092,124.65633,-12.22488,20.5667,0.0726
1093,124.38596,-12.237632,20.55,0.068573996
1094,124.11622,-12.250094,20.5333,0.065050997
1095,123.8478,-12.2622385,20.5167,0.066785999
1096,123.58,-12.274099,20.5,0.071232997
1097,123.31313,-12.285665,20.4833,0.072499
1098,123.04718,-12.296937,20.4667,0.071216002
1099,122.78197,-12.307927,20.45,0.069725998
1100,122.51758,-12.318633,20.4333,0.071461
1101,122.2542,-12.32905,20.4167,0.069131002
1102,121.9914,-12.339196,20.4,0.070812002
1103,121.72953,-12.349061,20.3833,0.072056003
1104,121.468315,-12.358656,20.3667,0.069229998
1105,121.20792,-12.367978,20.35,0.072846003
1106,120.9484,-12.377027,20.3333,0.071056001
1107,120.6894,-12.385817,20.3,0.071257003
1108,120.43129,-12.394337,20.2833,0.073562004
1109,120.17394,-12.402593,20.2667,0.077812999
1110,119.91713,-12.410595,20.25,0.071236998
1111,119.6611,-12.418337,20.2333,0.067244999
1112,119.40581,-12.425822,20.2167,0.088786997
1113,119.151054,-12.433058,20.2,0.073138997
1114,118.897194,-12.440035,20.1833,0.062159002
1115,118.64383,-12.446767,20.1667,0.067768
1116,118.39111,-12.453253,20.15,0.072247997
1117,118.139145,-12.459489,20.1333,0.072461002
1118,117.88769,-12.465485,20.1167,0.073247001
1119,117.63698,-12.471235,20.1,0.070950001
1120,117.38673,-12.476749,20.0833,0.078763001
1121,117.137215,-12.482022,20.0667,0.070254996
1122,116.88825,-12.48706,20.05,0.068026997
1123,116.63983,-12.491863,20.0333,0.073600002
1124,116.39213,-12.49643,20.0167,0.076116003
1125,116.14485,-12.500769,20,0.078075998
1126,115.898155,-12.504876,19.9833,0.074352004
1127,115.6521,-12.508755,19.9667,0.089117996
1128,115.4065,-12.512407,19.95,0.075773001
1129,115.16153,-12.515833,19.9333,0.073186003
1130,114.91708,-12.519035,19.9167,0.065196
1131,114.673035,-12.522017,19.9,0.073288999
1132,114.42965,-12.524775,19.8833,0.069760002
1133,114.1868,-12.527313,19.8833,0.076622002
1134,113.944275,-12.529635,19.8667,0.063212
1135,113.70246,-12.531738,19.85,0.066817001
1136,113.46095,-12.5336275,19.8333,0.075076997
1137,113.22005,-12.535302,19.8167,0.080591999
1138,112.97962,-12.536763,19.8,0.082787
1139,112.73959,-12.5380125,19.7833,0.081894003
1140,112.500114,-12.539052,19.7667,0.071732998
1141,112.261055,-12.539882,19.75,0.088151999
1142,112.0225,-12.5405035,19.7333,0.079655997
1143,111.78429,-12.540919,19.7167,0.074482001
1144,111.54661,-12.541128,19.7,0.068186
1145,111.309296,-12.541133,19.6833,0.093011998
1146,111.07248,-12.540935,19.6667,0.074569002
1147,110.83596,-12.540533,19.65,0.070990004
1148,110.60004,-12.539931,19.6333,0.065452002
1149,110.36442,-12.539128,19.6167,0.068787999
1150,110.12919,-12.538127,19.6,0.078354999
1151,109.894516,-12.536927,19.5833,0.075607002
1152,109.65997,-12.535529,19.5667,0.093299001
1153,109.426025,-12.5339365,19.55,0.075106002
1154,109.19246,-12.532148,19.55,0.080760002
1155,108.959206,-12.530166,19.5333,0.073890001
1156,108.72633,-12.527989,19.5167,0.069043003
1157,108.49387,-12.525621,19.5,0.086681999
1158,108.26179,-12.523062,19.4833,0.080136001
1159,108.03005,-12.520311,19.4667,0.067170002
1160,107.79858,-12.517371,19.45,0.083506003
1161,107.56756,-12.514242,19.4333,0.075378999
1162,107.33688,-12.510926,19.4167,0.078186996
1163,107.10648,-12.5074215,19.4,0.097360998
1164,106.87655,-12.503733,19.3833,0.080669999
1165,106.646805,-12.499856,19.3667,0.067846999
1166,106.41742,-12.495795,19.35,0.075515002
1167,106.18844,-12.491551,19.35,0.066721
1168,105.95971,-12.4871235,19.3333,0.066693999
1169,105.73136,-12.482514,19.3167,0.077549003
1170,105.503235,-12.477722,19.3,0.077659003
1171,105.27543,-12.472749,19.2833,0.075476997
1172,105.04795,-12.467596,19.2667,0.070165001
1173,104.82088,-12.462266,19.25,0.088192999
1174,104.59397,-12.456755,19.2333,0.073867999
1175,104.36736,-12.451065,19.2167,0.072945997
1176,104.14107,-12.445199,19.2,0.06927
1177,103.91505,-12.439156,19.1833,0.074657001
1178,103.68937,-12.432938,19.1833,0.062183999
1179,103.46381,-12.426539,19.1667,0.070984997
1180,103.23867,-12.419971,19.15,0.073893003
1181,103.01376,-12.413228,19.1333,0.076513
1182,102.78909,-12.40631,19.1167,0.073475003
1183,102.56479,-12.399222,19.1,0.076903999
1184,102.340515,-12.391954,19.0833,0.077861004
1185,102.11673,-12.384522,19.0667,0.088312
1186,101.893074,-12.376916,19.05,0.084578998
1187,101.66962,-12.369137,19.0333,0.089172997
1188,101.44657,-12.361194,19.0333,0.084692001
1189,101.22362,-12.353075,19.0167,0.080798998
1190,101.00095,-12.3447895,19,0.07643
1191,100.77856,-12.336337,18.9833,0.076098002
1192,100.5562,-12.327708,18.9667,0.071520001
1193,100.334335,-12.318924,18.95,0.077326
1194,100.11254,-12.309965,18.9333,0.072862998
1195,99.891014,-12.300842,18.9167,0.072586
1196,99.6697,-12.2915535,18.9167,0.068248004
1197,99.4486,-12.282099,18.9,0.075282
1198,99.227684,-12.272478,18.8833,0.070619002
1199,99.00703,-12.262695,18.8667,0.074464999
1200,98.786446,-12.252742,18.85,0.079433002
1201,98.566216,-12.242632,18.8333,0.078048997
1202,98.34608,-12.232354,18.8167,0.061765
1203,98.126114,-12.221912,18.8,0.073848002
1204,97.906425,-12.211311,18.7833,0.072384998
1205,97.68688,-12.200547,18.7833,0.083463997
1206,97.46754,-12.189621,18.7667,0.070674002
1207,97.24838,-12.1785345,18.75,0.071590997
1208,97.0293,-12.167282,18.7333,0.072099
1209,96.81054,-12.155876,18.7167,0.091606997
1210,96.59188,-12.144306,18.7,0.072382003
1211,96.37338,-12.132577,18.6833,0.073760003
1212,96.15513,-12.120691,18.6667,0.085424997
1213,95.93692,-12.108641,18.6667,0.084215999
1214,95.71891,-12.096433,18.65,0.078769997
1215,95.50114,-12.084071,18.6333,0.074305996
1216,95.283394,-12.071545,18.6167,0.079573996
1217,95.06587,-12.058865,18.6,0.070249997
1218,94.84849,-12.046026,18.5833,0.084049001
1219,94.63124,-12.03303,18.5667,0.077705003
1220,94.41415,-12.019877,18.5667,0.064245
1221,94.19722,-12.00657,18.55,0.065333001
1222,93.980354,-11.993101,18.5333,0.070566997
1223,93.76371,-11.979482,18.5167,0.068304002
1224,93.5471,-11.9657,18.5,0.072512001
1225,93.33072,-11.951771,18.4833,0.072860003
1226,93.114395,-11.937681,18.4667,0.077173002
1227,92.89818,-11.923434,18.45,0.069181003
1228,92.68212,-11.909037,18.45,0.065734997
1229,92.46619,-11.8944845,18.4333,0.081109002
1230,92.25037,-11.879778,18.4167,0.072701998
1231,92.03465,-11.864918,18.4,0.069467001
1232,91.818954,-11.8498955,18.3833,0.091426
1233,91.60351,-11.834731,18.3667,0.080536
1234,91.38818,-11.819414,18.35,0.076453
1235,91.172844,-11.803936,18.35,0.075924002
1236,90.95762,-11.788305,18.3333,0.083673
1237,90.74258,-11.772529,18.3167,0.071884997
1238,90.5275,-11.75659,18.3,0.073454
1239,90.31262,-11.740507,18.2833,0.075232998
1240,90.09777,-11.724267,18.2667,0.093364999
1241,89.88305,-11.707878,18.25,0.077858001
1242,89.66843,-11.691339,18.25,0.067928001
1243,89.45381,-11.674642,18.2333,0.069481999
1244,89.23935,-11.6578,18.2167,0.071768999
1245,89.024956,-11.640804,18.2,0.072885998
1246,88.810455,-11.623645,18.1833,0.071900003
1247,88.59625,-11.606352,18.1667,0.062740996
1248,88.38199,-11.588898,18.15,0.091706
1249,88.16785,-11.571297,18.15,0.082515001
1250,87.953804,-11.553548,18.1333,0.066434003
1251,87.73978,-11.535645,18.1167,0.073948003
1252,87.52576,-11.517588,18.1,0.075374998
